Các điểm E(-1, 188):
k=109, lambda=273, x3=692, y3=394, kP=(692, 394)
k=110, lambda=551, x3=253, y3=424, kP=(253, 424)
k=111, lambda=260, x3=505, y3=144, kP=(505, 144)
k=112, lambda=476, x3=17, y3=85, kP=(17, 85)
k=113, lambda=59, x3=457, y3=240, kP=(457, 240)
k=114, lambda=156, x3=595, y3=11, kP=(595, 11)
k=115, lambda=529, x3=622, y3=726, kP=(622, 726)
k=116, lambda=518, x3=343, y3=355, kP=(343, 355)
k=117, lambda=498, x3=579, y3=24, kP=(579, 24)
k=118, lambda=60, x3=14, y3=81, kP=(14, 81)
k=119, lambda=143, x3=155, y3=33, kP=(155, 33)
k=120, lambda=430, x3=747, y3=747, kP=(747, 747)
k=121, lambda=2, x3=5, y3=737, kP=(5, 737)
k=122, lambda=739, x3=136, y3=84, kP=(136, 84)
k=123, lambda=345, x3=228, y3=469, kP=(228, 469)
k=124, lambda=723, x3=553, y3=370, kP=(553, 370)
k=125, lambda=738, x3=364, y3=177, kP=(364, 177)
k=126, lambda=610, x3=739, y3=128, kP=(739, 128)
k=127, lambda=643, x3=408, y3=172, kP=(408, 172)
k=128, lambda=451, x3=220, y3=504, kP=(220, 504)
k=129, lambda=601, x3=498, y3=642, kP=(498, 642)
k=130, lambda=21, x3=691, y3=562, kP=(691, 562)
k=131, lambda=27, x3=35, y3=628, kP=(35, 628)
k=132, lambda=254, x3=643, y3=397, kP=(643, 397)
k=133, lambda=98, x3=697, y3=319, kP=(697, 319)
k=134, lambda=627, x3=407, y3=520, kP=(407, 520)
k=135, lambda=176, x3=526, y3=315, kP=(526, 315)
k=136, lambda=193, x3=672, y3=45, kP=(672, 45)
k=137, lambda=82, x3=41, y3=629, kP=(41, 629)
k=138, lambda=708, x3=303, y3=123, kP=(303, 123)
k=139, lambda=93, x3=82, y3=153, kP=(82, 153)
k=140, lambda=287, x3=425, y3=538, kP=(425, 538)
k=141, lambda=617, x3=255, y3=714, kP=(255, 714)
k=142, lambda=122, x3=357, y3=360, kP=(357, 360)
k=143, lambda=595, x3=695, y3=549, kP=(695, 549)
k=144, lambda=360, x3=481, y3=640, kP=(481, 640)
k=145, lambda=171, x3=219, y3=604, kP=(219, 604)
k=146, lambda=566, x3=208, y3=365, kP=(208, 365)
k=147, lambda=75, x3=157, y3=456, kP=(157, 456)
k=148, lambda=315, x3=684, y3=261, kP=(684, 261)
