90,15,52,346,"(0, 376)"
91,606,696,661,"(0, 376)"
92,541,597,328,"(0, 376)"
93,566,584,271,"(0, 376)"
94,194,253,108,"(0, 376)"
95,275,272,675,"(0, 376)"
96,164,339,353,"(0, 376)"
97,443,650,58,"(0, 376)"
98,598,229,115,"(0, 376)"
99,376,710,20,"(0, 376)"
100,27,19,613,"(0, 376)"
101,52,432,441,"(0, 376)"
102,586,508,83,"(0, 376)"
103,199,41,477,"(0, 376)"
104,149,381,682,"(0, 376)"
105,397,269,224,"(0, 376)"
106,421,487,371,"(0, 376)"
107,37,131,34,"(0, 376)"
108,628,729,673,"(0, 376)"
109,362,392,410,"(0, 376)"
110,571,466,143,"(0, 376)"
111,375,473,236,"(0, 376)"
112,557,364,397,"(0, 376)"
113,390,34,633,"(0, 376)"
114,118,372,37,"(0, 376)"
115,526,687,244,"(0, 376)"
116,49,212,501,"(0, 376)"
117,160,605,454,"(0, 376)"
118,555,261,463,"(0, 376)"
119,501,657,156,"(0, 376)"
120,258,570,511,"(0, 376)"
121,20,581,20,"(0, 376)"
122,329,267,399,"(0, 376)"
123,467,32,451,"(0, 376)"
124,636,426,550,"(0, 376)"
125,286,262,543,"(0, 376)"
126,422,586,162,"(0, 376)"
127,461,153,436,"(0, 376)"
128,236,720,181,"(0, 376)"
129,297,373,742,"(0, 376)"
130,154,62,590,"(0, 376)"
131,706,461,92,"(0, 376)"
132,146,578,99,"(0, 376)"
133,414,341,389,"(0, 376)"
134,152,233,256,"(0, 376)"
135,238,86,184,"(0, 376)"
136,382,144,190,"(0, 376)"
137,30,5,225,"(0, 376)"
138,120,126,275,"(0, 376)"
139,29,715,668,"(0, 376)"
140,576,621,155,"(0, 376)"
141,227,591,647,"(0, 376)"
142,3,169,619,"(0, 376)"
143,708,178,519,"(0, 376)"
144,486,204,363,"(0, 376)"
145,600,67,729,"(0, 376)"
146,420,599,380,"(0, 376)"
147,415,398,425,"(0, 376)"
148,119,245,509,"(0, 376)"
149,22,239,374,"(0, 376)"
150,707,195,694,"(0, 376)"
151,510,59,325,"(0, 376)"
152,381,159,627,"(0, 376)"
153,148,717,150,"(0, 376)"
154,95,47,416,"(0, 376)"
155,640,258,475,"(0, 376)"
156,568,187,50,"(0, 376)"
157,685,414,663,"(0, 376)"
158,144,45,654,"(0, 376)"
159,123,64,13,"(0, 376)"
160,53,492,584,"(0, 376)"
161,727,84,138,"(0, 376)"
162,623,529,497,"(0, 376)"
163,287,732,571,"(0, 376)"
164,385,297,182,"(0, 376)"
165,543,160,611,"(0, 376)"
166,729,324,744,"(0, 376)"
167,372,627,692,"(0, 376)"
168,700,472,415,"(0, 376)"
169,444,653,329,"(0, 376)"
170,330,103,180,"(0, 376)"
171,246,333,316,"(0, 376)"
172,399,407,198,"(0, 376)"
173,197,101,4,"(0, 376)"
174,264,503,510,"(0, 376)"
175,272,634,657,"(0, 376)"
176,203,21,618,"(0, 376)"
177,691,575,329,"(0, 376)"
178,747,192,392,"(0, 376)"
179,313,147,175,"(0, 376)"
180,673,680,94,"(0, 376)"
181,554,579,286,"(0, 376)"
182,638,174,511,"(0, 376)"
183,195,301,258,"(0, 376)"
184,304,493,703,"(0, 376)"
185,741,358,200,"(0, 376)"
186,289,553,521,"(0, 376)"
187,572,697,472,"(0, 376)"
188,332,632,80,"(0, 376)"
189,703,170,274,"(0, 376)"
190,450,311,111,"(0, 376)"
191,726,314,715,"(0, 376)"
192,544,479,396,"(0, 376)"
193,519,24,686,"(0, 376)"
194,451,607,733,"(0, 376)"
195,639,672,539,"(0, 376)"
196,93,467,502,"(0, 376)"
197,26,209,198,"(0, 376)"
198,186,592,660,"(0, 376)"
199,36,704,565,"(0, 376)"
200,731,447,303,"(0, 376)"
201,62,393,41,"(0, 376)"
202,410,234,563,"(0, 376)"
203,479,152,414,"(0, 376)"
204,188,646,589,"(0, 376)"
205,234,38,495,"(0, 376)"
206,181,430,649,"(0, 376)"
207,694,566,344,"(0, 376)"
208,398,128,499,"(0, 376)"
209,441,595,79,"(0, 376)"
210,103,251,56,"(0, 376)"
211,271,343,546,"(0, 376)"
212,688,622,509,"(0, 376)"
213,651,366,176,"(0, 376)"
214,693,745,27,"(0, 376)"
215,684,740,389,"(0, 376)"
216,545,391,564,"(0, 376)"
217,642,225,117,"(0, 376)"
218,613,44,439,"(0, 376)"
219,394,486,396,"(0, 376)"
220,340,211,731,"(0, 376)"
221,201,387,692,"(0, 376)"
222,354,263,397,"(0, 376)"
223,140,562,550,"(0, 376)"
224,11,310,720,"(0, 376)"
225,161,77,745,"(0, 376)"
226,629,538,674,"(0, 376)"
227,531,549,244,"(0, 376)"
228,365,500,368,"(0, 376)"
229,12,395,141,"(0, 376)"
230,142,243,415,"(0, 376)"
231,575,693,681,"(0, 376)"
232,681,452,473,"(0, 376)"
233,713,241,521,"(0, 376)"
234,655,714,578,"(0, 376)"
235,299,69,21,"(0, 376)"
236,169,705,639,"(0, 376)"
237,631,177,587,"(0, 376)"
238,417,231,176,"(0, 376)"
239,347,18,137,"(0, 376)"
240,696,3,540,"(0, 376)"
241,305,649,694,"(0, 376)"
242,527,712,651,"(0, 376)"
243,147,620,106,"(0, 376)"
244,690,97,284,"(0, 376)"
245,301,384,445,"(0, 376)"
246,229,238,696,"(0, 376)"
247,380,721,510,"(0, 376)"
248,346,337,178,"(0, 376)"
249,327,701,203,"(0, 376)"
250,409,609,626,"(0, 376)"
251,580,94,678,"(0, 376)"
252,163,190,196,"(0, 376)"
253,671,202,13,"(0, 376)"
254,686,268,522,"(0, 376)"
255,320,747,153,"(0, 376)"
256,619,155,558,"(0, 376)"
257,476,370,740,"(0, 376)"
258,480,224,248,"(0, 376)"
